Epoch: 137/200  Train Loss: 0.0065  Train Acc: 99.81%  Val Loss: 0.3610  Val Acc: 93.16%  Best: 93.25%  Time: 11.7s
Epoch: 138/200  Train Loss: 0.0058  Train Acc: 99.81%  Val Loss: 0.3447  Val Acc: 93.14%  Best: 93.25%  Time: 12.0s
Epoch: 139/200  Train Loss: 0.0056  Train Acc: 99.81%  Val Loss: 0.3401  Val Acc: 93.29%  Best: 93.29%  Time: 12.2s
Epoch: 140/200  Train Loss: 0.0047  Train Acc: 99.86%  Val Loss: 0.3380  Val Acc: 93.31%  Best: 93.31%  Time: 11.8s
Epoch: 141/200  Train Loss: 0.0038  Train Acc: 99.89%  Val Loss: 0.3513  Val Acc: 93.26%  Best: 93.31%  Time: 12.0s
Epoch: 142/200  Train Loss: 0.0032  Train Acc: 99.91%  Val Loss: 0.3409  Val Acc: 93.57%  Best: 93.57%  Time: 12.0s
Epoch: 143/200  Train Loss: 0.0030  Train Acc: 99.90%  Val Loss: 0.3351  Val Acc: 93.41%  Best: 93.57%  Time: 11.8s
Epoch: 144/200  Train Loss: 0.0025  Train Acc: 99.93%  Val Loss: 0.3313  Val Acc: 93.67%  Best: 93.67%  Time: 11.7s
Epoch: 145/200  Train Loss: 0.0022  Train Acc: 99.95%  Val Loss: 0.3383  Val Acc: 93.55%  Best: 93.67%  Time: 11.7s
Epoch: 146/200  Train Loss: 0.0017  Train Acc: 99.96%  Val Loss: 0.3357  Val Acc: 93.65%  Best: 93.67%  Time: 11.6s
Epoch: 147/200  Train Loss: 0.0021  Train Acc: 99.96%  Val Loss: 0.3367  Val Acc: 93.59%  Best: 93.67%  Time: 11.8s
Epoch: 148/200  Train Loss: 0.0020  Train Acc: 99.95%  Val Loss: 0.3328  Val Acc: 93.89%  Best: 93.89%  Time: 11.8s
Epoch: 149/200  Train Loss: 0.0022  Train Acc: 99.95%  Val Loss: 0.3258  Val Acc: 93.83%  Best: 93.89%  Time: 11.8s
Epoch: 150/200  Train Loss: 0.0018  Train Acc: 99.95%  Val Loss: 0.3344  Val Acc: 93.77%  Best: 93.89%  Time: 11.9s
Epoch: 151/200  Train Loss: 0.0017  Train Acc: 99.96%  Val Loss: 0.3315  Val Acc: 93.89%  Best: 93.89%  Time: 11.7s
Epoch: 152/200  Train Loss: 0.0013  Train Acc: 99.98%  Val Loss: 0.3233  Val Acc: 93.95%  Best: 93.95%  Time: 12.3s
Epoch: 153/200  Train Loss: 0.0013  Train Acc: 99.98%  Val Loss: 0.3235  Val Acc: 93.95%  Best: 93.95%  Time: 12.0s
Epoch: 154/200  Train Loss: 0.0013  Train Acc: 99.97%  Val Loss: 0.3357  Val Acc: 93.85%  Best: 93.95%  Time: 11.6s
Epoch: 155/200  Train Loss: 0.0014  Train Acc: 99.96%  Val Loss: 0.3391  Val Acc: 93.81%  Best: 93.95%  Time: 12.0s
Epoch: 156/200  Train Loss: 0.0014  Train Acc: 99.96%  Val Loss: 0.3409  Val Acc: 93.68%  Best: 93.95%  Time: 11.7s
Epoch: 157/200  Train Loss: 0.0010  Train Acc: 99.98%  Val Loss: 0.3364  Val Acc: 93.66%  Best: 93.95%  Time: 11.7s
Epoch: 158/200  Train Loss: 0.0012  Train Acc: 99.97%  Val Loss: 0.3358  Val Acc: 93.86%  Best: 93.95%  Time: 11.8s
Epoch: 159/200  Train Loss: 0.0010  Train Acc: 99.98%  Val Loss: 0.3354  Val Acc: 93.91%  Best: 93.95%  Time: 11.7s
Epoch: 160/200  Train Loss: 0.0009  Train Acc: 99.98%  Val Loss: 0.3344  Val Acc: 93.87%  Best: 93.95%  Time: 11.8s
Epoch: 161/200  Train Loss: 0.0008  Train Acc: 99.99%  Val Loss: 0.3262  Val Acc: 93.96%  Best: 93.96%  Time: 12.0s
Epoch: 162/200  Train Loss: 0.0009  Train Acc: 99.98%  Val Loss: 0.3285  Val Acc: 93.84%  Best: 93.96%  Time: 11.7s
Epoch: 163/200  Train Loss: 0.0009  Train Acc: 99.97%  Val Loss: 0.3252  Val Acc: 94.02%  Best: 94.02%  Time: 12.0s
Epoch: 164/200  Train Loss: 0.0007  Train Acc: 100.00%  Val Loss: 0.3282  Val Acc: 93.94%  Best: 94.02%  Time: 11.9s
Epoch: 165/200  Train Loss: 0.0007  Train Acc: 99.99%  Val Loss: 0.3268  Val Acc: 93.94%  Best: 94.02%  Time: 11.7s
Epoch: 166/200  Train Loss: 0.0007  Train Acc: 99.99%  Val Loss: 0.3251  Val Acc: 93.93%  Best: 94.02%  Time: 11.6s
Epoch: 167/200  Train Loss: 0.0007  Train Acc: 99.99%  Val Loss: 0.3269  Val Acc: 94.02%  Best: 94.02%  Time: 11.6s
Epoch: 168/200  Train Loss: 0.0007  Train Acc: 99.99%  Val Loss: 0.3253  Val Acc: 93.93%  Best: 94.02%  Time: 12.1s
Epoch: 169/200  Train Loss: 0.0008  Train Acc: 99.98%  Val Loss: 0.3268  Val Acc: 93.85%  Best: 94.02%  Time: 11.7s
Epoch: 170/200  Train Loss: 0.0009  Train Acc: 99.98%  Val Loss: 0.3239  Val Acc: 94.00%  Best: 94.02%  Time: 11.7s
Epoch: 171/200  Train Loss: 0.0009  Train Acc: 99.98%  Val Loss: 0.3269  Val Acc: 93.85%  Best: 94.02%  Time: 11.6s
Epoch: 172/200  Train Loss: 0.0006  Train Acc: 99.99%  Val Loss: 0.3236  Val Acc: 93.81%  Best: 94.02%  Time: 11.8s
Epoch: 173/200  Train Loss: 0.0006  Train Acc: 99.99%  Val Loss: 0.3257  Val Acc: 93.96%  Best: 94.02%  Time: 11.7s
Epoch: 174/200  Train Loss: 0.0006  Train Acc: 100.00%  Val Loss: 0.3281  Val Acc: 93.93%  Best: 94.02%  Time: 11.6s
Epoch: 175/200  Train Loss: 0.0005  Train Acc: 99.99%  Val Loss: 0.3265  Val Acc: 93.87%  Best: 94.02%  Time: 12.0s
Epoch: 176/200  Train Loss: 0.0005  Train Acc: 99.99%  Val Loss: 0.3260  Val Acc: 93.87%  Best: 94.02%  Time: 11.7s
Epoch: 177/200  Train Loss: 0.0006  Train Acc: 99.99%  Val Loss: 0.3259  Val Acc: 93.97%  Best: 94.02%  Time: 12.0s
Epoch: 178/200  Train Loss: 0.0005  Train Acc: 100.00%  Val Loss: 0.3242  Val Acc: 94.00%  Best: 94.02%  Time: 11.6s
Epoch: 179/200  Train Loss: 0.0005  Train Acc: 99.99%  Val Loss: 0.3238  Val Acc: 93.96%  Best: 94.02%  Time: 11.9s
Epoch: 180/200  Train Loss: 0.0005  Train Acc: 100.00%  Val Loss: 0.3233  Val Acc: 93.97%  Best: 94.02%  Time: 11.9s
Epoch: 181/200  Train Loss: 0.0005  Train Acc: 100.00%  Val Loss: 0.3247  Val Acc: 93.98%  Best: 94.02%  Time: 11.8s
Epoch: 182/200  Train Loss: 0.0006  Train Acc: 99.99%  Val Loss: 0.3238  Val Acc: 93.95%  Best: 94.02%  Time: 12.0s
Epoch: 183/200  Train Loss: 0.0005  Train Acc: 100.00%  Val Loss: 0.3256  Val Acc: 93.94%  Best: 94.02%  Time: 12.3s
Epoch: 184/200  Train Loss: 0.0006  Train Acc: 99.99%  Val Loss: 0.3259  Val Acc: 93.97%  Best: 94.02%  Time: 12.4s
